Estado,dosis,descarga,Poblacion_INEGI,dosis_per_capita,Dia
Querétaro,966324.0,2021-09-13 15:11:45,2361643,0.4091744603227499,2021-09-13
Quintana Roo,779936.0,2021-09-13 15:11:45,1836963,0.4245790470466743,2021-09-13
San Luis Potosí,1143918.0,2021-09-13 15:11:45,2820313,0.40559966216515686,2021-09-13
Sinaloa,1732466.0,2021-09-13 15:11:45,3024718,0.5727694284227488,2021-09-13
Sonora,1389838.0,2021-09-13 15:11:45,2942115,0.47239417901747555,2021-09-13
Tabasco,964660.0,2021-09-13 15:11:45,2401722,0.40165348029455533,2021-09-13
Tamaulipas,1604805.0,2021-09-13 15:11:45,3522081,0.45564113942865025,2021-09-13
Tlaxcala,532018.0,2021-09-13 15:11:45,1322052,0.40241836175884155,2021-09-13
Veracruz,2820734.0,2021-09-13 15:11:45,8059109,0.3500056892145273,2021-09-13
Yucatán,1413533.0,2021-09-13 15:11:45,2317082,0.6100487596036739,2021-09-13
Zacatecas,752720.0,2021-09-13 15:11:45,1620280,0.46456168069716347,2021-09-13
Aguascalientes,1134792.0,2021-11-01 10:47:48,1424099,0.7968490954631665,2021-11-01
Baja California,2216707.0,2021-11-01 10:47:48,3760801,0.5894241678833844,2021-11-01
Baja California Sur,623101.0,2021-11-01 10:47:48,794605,0.7841644590708591,2021-11-01
CDMX,8970111.0,2021-11-01 10:47:48,9200318,0.9749783648782575,2021-11-01
Campeche,748205.0,2021-11-01 10:47:48,924069,0.8096852074899169,2021-11-01
Chiapas,1939970.0,2021-11-01 10:47:48,5515984,0.3516997148650177,2021-11-01
Chihuahua,3158011.0,2021-11-01 10:47:48,3734230,0.845692686310163,2021-11-01
Coahuila,1711320.0,2021-11-01 10:47:48,3140612,0.5449001659549157,2021-11-01
Colima,450604.0,2021-11-01 10:47:48,729435,0.6177438702557458,2021-11-01
Durango,1056873.0,2021-11-01 10:47:48,1829475,0.5776919608084287,2021-11-01
Estado de México,9993988.0,2021-11-01 10:47:48,16984191,0.5884288512770494,2021-11-01
Guanajuato,3588613.0,2021-11-01 10:47:48,6154885,0.5830511861716344,2021-11-01
Guerrero,2029843.0,2021-11-01 10:47:48,3526268,0.5756349205448934,2021-11-01
Hidalgo,2192816.0,2021-11-01 10:47:48,3079635,0.7120376278357663,2021-11-01
Jalisco,4034338.0,2021-11-01 10:47:48,8297100,0.48623470851261286,2021-11-01
Michoacán,2899105.0,2021-11-01 10:47:48,4745316,0.6109403462277327,2021-11-01
Morelos,1287867.0,2021-11-01 10:47:48,1970572,0.6535498322314536,2021-11-01
Nayarit,807696.0,2021-11-01 10:47:48,1234288,0.6543821215145897,2021-11-01
Nuevo León,2793910.0,2021-11-01 10:47:48,5766310,0.4845230311932588,2021-11-01
Oaxaca,2074584.0,2021-11-01 10:47:48,4122760,0.5032027088649351,2021-11-01
Puebla,3301036.0,2021-11-01 10:47:48,6577607,0.5018597188916881,2021-11-01
Querétaro,1771290.0,2021-11-01 10:47:48,2361643,0.7500244533149167,2021-11-01
Quintana Roo,1417624.0,2021-11-01 10:47:48,1836963,0.7717215861179566,2021-11-01
San Luis Potosí,1938490.0,2021-11-01 10:47:48,2820313,0.6873315124952443,2021-11-01
Sinaloa,2768835.0,2021-11-01 10:47:48,3024718,0.9154026920856754,2021-11-01
Sonora,1960272.0,2021-11-01 10:47:48,2942115,0.6662798700934531,2021-11-01
Tabasco,1518780.0,2021-11-01 10:47:48,2401722,0.632371273611184,2021-11-01
Tamaulipas,2942931.0,2021-11-01 10:47:48,3522081,0.8355659622819578,2021-11-01
Tlaxcala,850315.0,2021-11-01 10:47:48,1322052,0.6431781805859376,2021-11-01
Veracruz,4638648.0,2021-11-01 10:47:48,8059109,0.5755782680194548,2021-11-01
Yucatán,1949221.0,2021-11-01 10:47:48,2317082,0.8412395418030091,2021-11-01
Zacatecas,1121200.0,2021-11-01 10:47:48,1620280,0.6919791640950946,2021-11-01
